model,group,n_subjects,ME,MAE,RMSE
LOSO_ridge_4ch_extended_nonsequence,overall,22,2.7048833328597586,18.089863516056344,23.573465931790505
LOSO_ridge_4ch_extended_nonsequence,healthy,11,3.554157686125674,17.93012327786477,23.143247381671053
LOSO_ridge_4ch_extended_nonsequence,unhealthy,11,1.8556089795938433,18.249603754247907,24.003684481909943
