condition,subject,status,n_test,ME,MAE,RMSE,protocol
channel_dropout_BF,8Amar,unhealthy,1912,7.54556941986084,10.752702713012695,14.991437884301398,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,8Amar,unhealthy,1912,-1.2241688966751099,7.186221122741699,9.28704344909566,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,8Amar,unhealthy,1912,-4.078007221221924,8.360295295715332,11.31100470845311,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,8Amar,unhealthy,1912,-6.957862377166748,8.954751014709473,13.238841990742973,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,8Amar,unhealthy,1912,2.1865413188934326,6.2316060066223145,8.05832534468793,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,8Amar,unhealthy,1912,-2.6266512870788574,6.731909275054932,9.544824957623879,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,9Amar,unhealthy,6291,-0.6233646273612976,4.457556247711182,6.433445811235494,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,9Amar,unhealthy,6291,-0.6077847480773926,4.459646701812744,6.44003275703013,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,9Amar,unhealthy,6291,-0.6417044401168823,4.433764457702637,6.403800980057664,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,9Amar,unhealthy,6291,-1.8731476068496704,7.432891368865967,10.213739782600674,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,9Amar,unhealthy,6291,5.489368438720703,9.172395706176758,14.310946051183437,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,9Amar,unhealthy,6291,-2.3517725467681885,8.158956527709961,11.907109907841695,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,9Amar,unhealthy,6291,-1.6599193811416626,5.059176921844482,6.911814109616134,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,9Amar,unhealthy,6291,-4.5481157302856445,8.475615501403809,11.292160042169467,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,9Amar,unhealthy,6291,2.385561227798462,5.5105390548706055,8.535840486732482,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,9Amar,unhealthy,6291,-0.6186708807945251,4.45276403427124,6.427510037675852,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,10Amar,unhealthy,4453,-0.6476035118103027,6.384507179260254,8.721443006477447,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,10Amar,unhealthy,4453,-0.6425292491912842,6.3740234375,8.701076958306656,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,10Amar,unhealthy,4453,-0.6197254061698914,6.379910469055176,8.709140965246748,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,10Amar,unhealthy,4453,-5.206774711608887,9.80163288116455,13.430303873471704,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,10Amar,unhealthy,4453,-1.1511149406433105,8.524991989135742,11.280599390432313,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,10Amar,unhealthy,4453,3.032316207885742,7.559062957763672,10.852023703302129,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,10Amar,unhealthy,4453,-7.950605869293213,11.027312278747559,16.100712427524073,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,10Amar,unhealthy,4453,-1.3192188739776611,6.692141532897949,9.164536615905757,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,10Amar,unhealthy,4453,-0.27989766001701355,6.161253452301025,8.27382894567946,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,10Amar,unhealthy,4453,-0.6549230813980103,6.382623672485352,8.72536816189133,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,11Amar,unhealthy,5390,-0.32686400413513184,4.530115604400635,6.287560476691009,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,11Amar,unhealthy,5390,-0.34038180112838745,4.536418437957764,6.309847434930547,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,11Amar,unhealthy,5390,-0.32766807079315186,4.525257110595703,6.2763771400117525,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,11Amar,unhealthy,5390,-4.410215854644775,6.152456760406494,9.747004513431975,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,11Amar,unhealthy,5390,1.4755706787109375,5.990845203399658,7.387639222874484,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,11Amar,unhealthy,5390,-0.49501821398735046,6.137350559234619,8.36533219028441,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,11Amar,unhealthy,5390,0.36040744185447693,6.920332908630371,10.196182763384341,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,11Amar,unhealthy,5390,0.9252573847770691,5.754903316497803,7.48275070244567,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,11Amar,unhealthy,5390,-1.4584406614303589,4.669834136962891,7.189405901773733,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,11Amar,unhealthy,5390,-0.3202115297317505,4.53328800201416,6.286962540029671,checkpoint_reuse_purged_temporal_test_only_perturbation
