group,metric,n_subjects,mean,median,std,bootstrap_95ci_low,bootstrap_95ci_high
healthy,MAE,11,7.394005905498158,6.516119480133057,2.9496596502826438,5.841027070175518,9.133565833351824
healthy,RMSE,11,10.006384570922286,9.154520854484701,3.349415624295263,8.264684842607824,11.946350908369684
unhealthy,MAE,11,5.199192805723711,4.530115604400635,1.1567424163013307,4.561826367811723,5.898819308389317
unhealthy,RMSE,11,8.061445944984078,7.331664704726294,1.6178243843198072,7.220386112405589,8.979838730696422
